Baseline_discharge;Baseline_h_SJSR;Baseline_h_RP;Baseline_slope;alt1_discharge;alt1_h_SJSR;alt1_h_RP;alt1_slope;alt2_discharge;alt2_h_SJSR;alt2_h_RP;alt2_slope;alt3_discharge;alt3_h_SJSR;alt3_h_RP;alt3_slope
86.882808;28.253187;28.269508;0.000000442702;87.359239;28.561949;28.57348214;0.000000312832;90.264728;27.572368;27.621072;0.000001321113;1265.631704;30.070588;30.62992585;0.000015172177
92.819951;28.271674;28.289851;0.000000493076;93.564351;28.572506;28.58557286;0.000000354435;95.900256;27.613470;27.664198;0.000001375998;1290.770686;30.104939;30.67029706;0.000015335478
98.978755;28.289960;28.310142;0.000000547440;99.909313;28.582432;28.59715849;0.000000399456;101.627181;27.652741;27.705545;0.000001432326;1315.814504;30.139049;30.71010786;0.000015490115
105.208255;28.307689;28.329976;0.000000604528;106.261934;28.591710;28.60818875;0.000000446983;107.589687;27.690375;27.745441;0.000001493676;1340.758921;30.172928;30.74938284;0.000015636482
111.403161;28.324688;28.349143;0.000000663337;112.523010;28.600375;28.61866646;0.000000496162;113.951906;27.726858;27.784547;0.000001564814;1365.646756;30.206874;30.78841189;0.000015774369
117.562488;28.341082;28.367765;0.000000723777;118.644963;28.608497;28.62864207;0.000000546431;120.410337;27.759945;27.820601;0.000001645310;1390.562655;30.240176;30.82672884;0.000015910398
123.524522;28.356556;28.385465;0.000000784171;124.750121;28.616330;28.63840024;0.000000598658;126.804064;27.789017;27.852892;0.000001732620;1415.528606;30.273424;30.86485423;0.000016042713
129.510284;28.371753;28.402963;0.000000846583;130.848983;28.623949;28.64801801;0.000000652867;132.953839;27.814394;27.881554;0.000001821742;1440.543448;30.306372;30.90254211;0.000016171279
135.513507;28.386631;28.420199;0.000000910534;136.953662;28.631410;28.6575525;0.000000709116;138.967677;27.837775;27.908224;0.000001910953;1465.575329;30.339154;30.93980979;0.000016292939
141.520832;28.401191;28.437164;0.000000975797;143.070419;28.638754;28.66704586;0.000000767418;145.048151;27.861177;27.934892;0.000001999546;1490.577448;30.371688;30.97677974;0.000016413274
147.544262;28.415521;28.453956;0.000001042538;149.212729;28.646022;28.67654211;0.000000827870;151.150835;27.883722;27.960574;0.000002084630;1515.526085;30.403989;31.01301149;0.000016519901
153.593482;28.429682;28.470635;0.000001110859;155.373431;28.653203;28.68602729;0.000000890367;157.175543;27.909418;27.989227;0.000002164858;1540.405430;30.436043;31.04860003;0.000016615772
159.658489;28.443665;28.487190;0.000001180640;161.570061;28.660408;28.69561662;0.000000955046;163.182736;27.934530;28.017123;0.000002240365;1565.236289;30.467858;31.08364336;0.000016703333
165.762778;28.457532;28.503693;0.000001252138;167.806715;28.667571;28.70524554;0.000001021944;169.192782;27.960603;28.045798;0.000002310944;1590.038471;30.499515;31.118244;0.000016783175
171.888285;28.471247;28.520098;0.000001325105;174.138726;28.674794;28.71503908;0.000001091655;175.186046;27.987159;28.074839;0.000002378334;1614.759871;30.531026;31.15239152;0.000016854709
178.076282;28.484904;28.536516;0.000001400002;180.264516;28.681746;28.72453905;0.000001160765;181.195472;28.013325;28.103532;0.000002446912;1639.379853;30.562431;31.18617331;0.000016919177
184.276739;28.498404;28.552825;0.000001476180;186.380995;28.688659;28.73405428;0.000001231361;187.200388;28.038291;28.131131;0.000002518302;1663.902088;30.593800;31.21966748;0.000016976815
190.283753;28.511326;28.568504;0.000001550988;192.480972;28.695527;28.74357454;0.000001303303;193.225311;28.062274;28.157825;0.000002591839;1688.332360;30.625156;31.2528891;0.000017027432
196.272978;28.524078;28.584041;0.000001626489;198.580941;28.702368;28.75312234;0.000001376734;199.324627;28.085724;28.184039;0.000002666808;1712.698300;30.656492;31.28581584;0.000017070581
202.268739;28.536740;28.599519;0.000001702909;204.680609;28.709179;28.76269396;0.000001451607;205.555619;28.109087;28.210210;0.000002742979;1737.028951;30.687805;31.31848958;0.000017107484
208.259183;28.549306;28.614929;0.000001780030;210.773097;28.715952;28.77227664;0.000001527810;211.597151;28.130973;28.234841;0.000002817439;1761.358268;30.719050;31.35093608;0.000017140083
214.253839;28.561820;28.630314;0.000001857907;216.859424;28.722687;28.78186889;0.000001605323;217.709192;28.152427;28.259106;0.000002893699;1785.763519;30.750266;31.38320412;0.000017168601
220.248735;28.574292;28.645681;0.000001936443;222.951303;28.729390;28.7914819;0.000001684264;223.852539;28.173107;28.282684;0.000002972325;1810.221034;30.781458;31.41525924;0.000017192021
226.225917;28.586700;28.660999;0.000002015370;229.062681;28.736070;28.80113057;0.000001764794;230.034805;28.193148;28.305705;0.000003053133;1834.746238;30.812720;31.44716001;0.000017209358
232.209375;28.599120;28.676356;0.000002095041;235.277543;28.742811;28.81094042;0.000001848031;236.229470;28.212507;28.328103;0.000003135584;1859.325523;30.843699;31.4785692;0.000017221010
238.195138;28.611586;28.691791;0.000002175577;241.289629;28.749280;28.82042451;0.000001929814;242.470590;28.231335;28.350012;0.000003219145;1883.949715;30.874549;31.50970898;0.000017228881
244.113168;28.624084;28.707284;0.000002256809;247.423475;28.755822;28.83008875;0.000002014509;248.746315;28.249548;28.371370;0.000003304461;1908.704841;30.905092;31.54056547;0.000017237384
250.042274;28.636601;28.722816;0.000002338603;253.550888;28.762293;28.83972487;0.000002100361;255.119195;28.267524;28.392566;0.000003391811;1933.583823;30.935273;31.57116309;0.000017248690
256.050945;28.649089;28.738328;0.000002420619;259.669266;28.768687;28.8493249;0.000002187333;261.377320;28.284251;28.412568;0.000003480627;1958.554854;30.965085;31.60148197;0.000017262442
262.041807;28.661549;28.753821;0.000002502880;265.783497;28.775000;28.85888691;0.000002275456;267.687679;28.300839;28.432478;0.000003570727;1983.596148;30.994573;31.63150454;0.000017276934
268.020112;28.673990;28.769308;0.000002585511;271.895514;28.781232;28.86841093;0.000002364750;273.978144;28.316951;28.451954;0.000003662014;2008.705036;31.023905;31.66132831;0.000017290280
274.008827;28.686396;28.784774;0.000002668530;278.009025;28.787384;28.87790027;0.000002455270;280.231401;28.332582;28.470989;0.000003754347;2033.871209;31.053128;31.69102156;0.000017303019
279.995469;28.698742;28.800192;0.000002751857;284.118875;28.793447;28.8873418;0.000002546919;286.440177;28.347832;28.489673;0.000003847488;2059.101048;31.082272;31.72062914;0.000017315596
285.967451;28.711022;28.815557;0.000002835544;290.228255;28.799421;28.89673683;0.000002639724;292.579813;28.362772;28.508074;0.000003941359;2084.398786;31.111320;31.75013107;0.000017327911
291.900459;28.723241;28.830878;0.000002919663;296.342937;28.805311;28.90609395;0.000002733753;298.587697;28.377463;28.526256;0.000004036057;2109.735472;31.140251;31.77948317;0.000017339344
297.805600;28.735383;28.846134;0.000003004149;302.459272;28.811118;28.91540948;0.000002828940;304.702851;28.391896;28.544201;0.000004131325;2135.100538;31.169021;31.80863118;0.000017349607
303.707064;28.747433;28.861308;0.000003088873;308.576221;28.816842;28.92468472;0.000002925250;310.870678;28.406058;28.561902;0.000004227310;2160.490878;31.197622;31.83756691;0.000017358673
